,Side,Beat_ID,Prev_Beat_ID,Curr0-0,Curr0-1,Curr0-2,Curr0-3,Curr1-0,Curr1-1,Curr1-2,Curr1-3,Curr2-0,Curr2-1,Curr2-2,Curr2-3,Prev0-0,Prev0-1,Prev0-2,Prev0-3,Prev1-0,Prev1-1,Prev1-2,Prev1-3,Prev2-0,Prev2-1,Prev2-2,Prev2-3,Flow,Prev_Key,Curr_Key
10,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,7
11,0,*-1-1-1-1-1-1+3-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,8
12,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,1
13,1,*-1-1-1-1-1+11-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,9
14,1,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,10
15,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,3
16,1,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,10
17,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,3
18,0,*-1+0-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,11
19,1,*-1-1+9-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,12
20,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,7
21,1,*-1-1-1-1-1-1-1-1-1-1-1+16*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True,13,13
22,0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,4
23,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,1
24,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,3
25,0,*+0-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,5
26,1,*-1-1-1+9-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,6
27,0,*+4-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,14
28,1,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,10
29,0,*+4-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,14
30,0,*-1-1-1-1-1-1-1-1-1-1+7-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,15
31,1,*-1-1-1+14-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True,17,10
32,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,7
33,1,*-1-1-1-1-1-1-1-1-1-1-1+15*,*-1-1-1-1-1-1-1-1-1+15-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,True,17,16
34,0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,4
35,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,1
36,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,3
37,0,*-1+0-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,11
38,1,*-1-1+9-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,12
39,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+7-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,True,15,7
40,1,*-1-1-1-1-1-1-1-1-1-1-1+16*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,13
41,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True,4,1
42,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,3
43,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True,4,7
44,1,*-1-1-1-1-1-1-1-1-1+15-1-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,17
45,0,*-1-1-1-1+0-1-1-1-1-1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True,4,18
46,1,*-1+9-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,19
47,1,*-1-1-1-1-1-1-1-1-1-1+16-1*,*-1-1-1-1-1-1-1+12-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,True,2,20
48,0,*-1-1-1-1-1-1+5-1-1-1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True,4,21
49,0,*-1-1-1-1-1-1-1-1-1-1+1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True,4,22
50,0,*-1-1+0-1-1-1-1-1-1-1-1-1*,*-1-1-1-1+2-1-1-1-1-1-1-1*,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,True,4,23
51,1,*-1-1-1+9-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+10*,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,True,53,6
53,1,*-1-1-1-1-1-1-1-1-1-1-1+16*,*-1-1-1-1-1-1-1-1-1-1-1+10*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,True,53,13
54,0,*-1-1-1-1+0-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,18
55,1,*-1+9-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+10*,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,True,53,19
56,0,*-1-1-1-1-1-1-1-1+1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,25
57,1,*-1-1-1-1-1-1-1-1-1-1+16-1*,*-1-1-1-1-1-1-1-1-1-1-1+10*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,True,53,20
58,0,*-1-1-1-1-1-1+3-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,8
59,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,1
60,0,*-1+0-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,11
61,1,*-1-1+9-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+10*,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,True,53,12
62,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,7
63,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+10*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,True,53,3
64,0,*+5-1-1-1-1-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,26
65,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,1
66,0,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,27
67,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1+1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,True,25,7
68,1,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,28
69,0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,4
70,1,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,28
71,1,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,2
72,0,*-1-1-1-1-1-1+5-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,21
73,0,*-1-1-1-1+2-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,4
74,1,*-1-1-1-1-1+13-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,29
75,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,1
76,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,3
77,0,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,27
78,1,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,28
79,0,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,7
80,0,*-1-1-1-1-1-1-1-1+5-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,30
81,1,*-1-1-1-1-1-1-1-1-1-1-1+13*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,31
82,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,1
83,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,3
84,0,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,27
85,1,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,28
86,0,*-1-1-1-1+6-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,32
87,1,*-1-1-1-1-1-1-1-1-1+15-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,17
88,0,*-1-1-1-1+5-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,33
89,1,*-1-1-1-1-1-1-1-1-1+14-1-1*,*-1-1-1-1-1-1-1-1-1-1+10-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,True,3,34
90,0,*-1-1-1-1-1-1-1-1-1-1+7-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,15
91,0,*-1-1-1-1-1-1-1-1-1-1+4-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,35
92,1,*-1-1-1-1-1-1-1+13-1-1-1-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,36
93,0,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,1
94,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,3
95,0,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1+0-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,True,27,27
96,1,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,2
101,1,*-1-1-1-1-1-1-1-1-1+17-1-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,41
102,1,*-1-1-1-1-1-1-1-1-1-1+17-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,42
106,1,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,3
107,0,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1+1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,True,1,27
108,1,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1+16-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,True,63,28
