,Beat_ID,Prev_Beat_ID,Curr0-0,Curr0-1,Curr0-2,Curr0-3,Curr1-0,Curr1-1,Curr1-2,Curr1-3,Curr2-0,Curr2-1,Curr2-2,Curr2-3,Prev0-0,Prev0-1,Prev0-2,Prev0-3,Prev1-0,Prev1-1,Prev1-2,Prev1-3,Prev2-0,Prev2-1,Prev2-2,Prev2-3,Flow
72,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
73,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
74,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
75,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
76,*-1-1-1-1-1-1-1-1+6-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
77,*-1-1-1-1-1-1-1-1+5-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
78,*-1-1-1-1-1-1-1-1-1-1-1+13*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
79,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
80,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
81,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
82,*-1-1-1-1-1-1-1-1-1-1+9-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
83,*-1-1-1-1+6-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
84,*-1-1-1-1-1-1-1-1-1+15-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
85,*-1-1-1-1+5-1-1-1-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
86,*-1-1-1-1-1-1-1-1-1+14-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
87,*-1-1-1-1-1-1-1-1-1-1+7-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
88,*-1-1-1-1-1-1-1+16-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
89,*-1-1-1-1-1-1-1-1-1-1+4-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
90,*-1-1-1-1-1-1-1+13-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
91,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
92,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
93,*-1-1-1-1-1-1-1-1-1+0-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
94,*-1-1-1-1-1-1-1+12-1-1-1-1*,*-1-1-1-1-1-1-1-1-1-1-1+16*,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,True
95,*-1+17-1-1-1-1-1-1-1-1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
96,*+17-1-1-1-1-1-1-1-1-1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
97,*-1-1-1-1+17-1-1-1-1-1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
98,*-1-1-1-1-1-1-1-1+17-1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
99,*-1-1-1-1-1-1-1-1-1+17-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
100,*-1-1-1-1-1-1-1-1-1-1+17-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
101,*-1-1-1-1-1-1-1-1-1-1-1+17*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
102,*-1-1-1-1-1-1-1+17-1-1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
103,*-1-1-1+17-1-1-1-1-1-1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
104,*-1-1-1-1-1-1-1-1-1+1-1-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
105,*-1-1-1-1-1-1-1-1-1-1+10-1*,*-1-1+17-1-1-1-1-1-1-1-1-1*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,True
